# Mapfile. Created by GNU ddrescue version 1.29
# Command line: ddrescue -f -n /dev/sda disk.img disk.log
# Start time:   2025-12-09 18:36:52
# Current time: 2025-12-09 18:37:32
# Copying non-tried blocks... Pass 5 (forwards)
# current_pos  current_status  current_pass
0x024C0000     ?               5
#      pos        size  status
0x12E32A068290000  0x00010000  *
0x12E32A0682A0000  0x51EB851EB0000  ?
0x1335158BA150000  0x00010000  *
0x1335158BA160000  0x51EB851EB0000  ?
0x13870110C010000  0x00010000  *
0x13870110C020000  0x51EB851EB0000  ?
0x13D8EC95DED0000  0x00010000  *
0x13D8EC95DEE0000  0x51EB851EB0000  ?
0x142AD81AFD90000  0x00010000  *
0x142AD81AFDA0000  0x51EB851EB0000  ?
0x147CC3A01C50000  0x00010000  *
0x147CC3A01C60000  0x51EB851EB0000  ?
0x14CEAF253B10000  0x00010000  *
0x14CEAF253B20000  0x51EB851EB0000  ?
0x15209AAA59D0000  0x00010000  *
0x15209AAA59E0000  0x51EB851EB0000  ?
0x1572862F7890000  0x00010000  *
0x1572862F78A0000  0x51EB851EB0000  ?
0x15C471B49750000  0x00010000  *
0x15C471B49760000  0x51EB851EB0000  ?
0x16165D39B610000  0x00010000  *
0x16165D39B620000  0x51EB851EB0000  ?
0x166848BED4D0000  0x00010000  *
0x166848BED4E0000  0x51EB851EB0000  ?
0x16BA3443F390000  0x00010000  *
0x16BA3443F3A0000  0x51EB851EB0000  ?
0x170C1FC91250000  0x00010000  *
0x170C1FC91260000  0x51EB851EB0000  ?
0x175E0B4E3110000  0x00010000  *
0x175E0B4E3120000  0x51EB851EB0000  ?
0x17AFF6D34FD0000  0x00010000  *
0x17AFF6D34FE0000  0x51EB851EB0000  ?
0x1801E2586E90000  0x00010000  *
0x1801E2586EA0000  0x51EB851EB0000  ?
0x1853CDDD8D50000  0x00010000  *
0x1853CDDD8D60000  0x51EB851EB0000  ?
0x18A5B962AC10000  0x00010000  *
0x18A5B962AC20000  0x51EB851EB0000  ?
0x18F7A4E7CAD0000  0x00010000  *
0x18F7A4E7CAE0000  0x51EB851EB0000  ?
0x1949906CE990000  0x00010000  *
0x1949906CE9A0000  0x51EB851EB0000  ?
0x199B7BF20850000  0x00010000  *
0x199B7BF20860000  0x51EB851EB0000  ?
0x19ED67772710000  0x00010000  *
0x19ED67772720000  0x51EB851EB0000  ?
0x1A3F52FC45D0000  0x00010000  *
0x1A3F52FC45E0000  0x51EB851EB0000  ?
0x1A913E816490000  0x00010000  *
0x1A913E8164A0000  0x51EB851EB0000  ?
0x1AE32A068350000  0x00010000  *
0x1AE32A068360000  0x51EB851EB0000  ?
0x1B35158BA210000  0x00010000  *
0x1B35158BA220000  0x51EB851EB0000  ?
0x1B870110C0D0000  0x00010000  *
0x1B870110C0E0000  0x51EB851EB0000  ?
0x1BD8EC95DF90000  0x00010000  *
0x1BD8EC95DFA0000  0x51EB851EB0000  ?
0x1C2AD81AFE50000  0x00010000  *
0x1C2AD81AFE60000  0x51EB851EB0000  ?
0x1C7CC3A01D10000  0x00010000  *
0x1C7CC3A01D20000  0x51EB851EB0000  ?
0x1CCEAF253BD0000  0x00010000  *
0x1CCEAF253BE0000  0x51EB851EB0000  ?
0x1D209AAA5A90000  0x00010000  *
0x1D209AAA5AA0000  0x51EB851EB0000  ?
0x1D72862F7950000  0x00010000  *
0x1D72862F7960000  0x51EB851EB0000  ?
0x1DC471B49810000  0x00010000  *
0x1DC471B49820000  0x51EB851EB0000  ?
0x1E165D39B6D0000  0x00010000  *
0x1E165D39B6E0000  0x51EB851EB0000  ?
0x1E6848BED590000  0x00010000  *
0x1E6848BED5A0000  0x51EB851EB0000  ?
0x1EBA3443F450000  0x00010000  *
0x1EBA3443F460000  0x51EB851EB0000  ?
0x1F0C1FC91310000  0x00010000  *
0x1F0C1FC91320000  0x51EB851EB0000  ?
0x1F5E0B4E31D0000  0x00010000  *
0x1F5E0B4E31E0000  0x51EB851EB0000  ?
0x1FAFF6D35090000  0x00010000  *
0x1FAFF6D350A0000  0x50092CAF50000  ?
0x1FFFFFFFFFF0000  0x0000FE00  *
